ID,time,A_m,P_m,R_s,AR_s,AR_e,A_e,R_e,AR_l,A_l,R_l,P_c,A_cat,Nc_1,Nc_2,Nc_3,Nc_4,hours
8,28800,7.332923914020627e-12,1819307477434.2043,19637.90450507283,5.17432502733607e-19,1.818602556518466e-19,1.654746268936442e-20,589.5332811316852,1.898475791988913e-19,1.5502021346436906e-20,530.4047069765609,10203.898838095014,43137227.62399889,28904.262600797836,1.4333164331941677,1.298537586515184,1.4889667792722068,8
9,3600,1891865639409.9866,910581411851.1641,267.4118051889452,1730.543606058166,490.02425790802187,49.94681201957196,50.02665452016547,387.90588535368477,43.45102813743855,59.77552339028224,2780.647316193827,10276337.231872816,81980.01325390492,2.7797595765775656,2.6697087705525577,3.202934624297614,1
9,7200,1527988870104.8845,1341996625652.8765,644.4441179444153,1703.5818736653462,340.687158344017,31.915791241401287,43.815157357799364,366.0964506353006,39.80260431120391,65.91957425360388,3807.177758780186,19093879.631295547,53038.22086738149,2.1939595553045446,2.8218860435990227,2.806465606527155,2
9,10800,442942308612.6601,2131029836080.5352,1153.9101843127346,2324.126770126443,365.00855703689786,37.85549506350856,59.25398632039311,471.8777898347117,41.712890722381644,65.70436342505214,5093.5440699938645,26690682.64438591,74458.52410327317,2.2469773713419032,2.1988357051510765,2.5617479502732565,3
9,14400,846179663.5554452,2409735185303.1206,21860.901615814946,65.8008447768606,10.36771699214584,1.1777982061213768,474.0666836047153,12.158145223832438,1.2509374309260501,504.967481246524,7523.80421882194,49896808.724914014,50273.205480661585,2.2016505971909175,2.2647716115279977,2.1683783807448376,4
9,18000,15.460919718535774,2562923724822.013,19339.055169002437,9.315686807812288e-7,1.7598818660706035e-7,1.0804464515539237e-8,442.32539351007165,1.9426907227626938e-7,1.6491812642751645e-8,498.680666149529,8035.07498553096,39771843.84058418,56289.50832542308,1.5136770457340754,2.5754739678570346,2.169217534144302,5
9,21600,2.1375097900180554e-6,2278449166688.5435,20542.97800780079,1.0932407624584307e-13,2.4402389946299005e-14,2.258656941721753e-15,483.9914865321929,3.1641102195568585e-14,2.7284603529693467e-15,443.3585534732576,7152.088396123184,31779679.574941732,42909.26198685762,1.6735530317605432,1.3505264206479344,2.0337654261958362,6
9,25200,4.9963081520055175e-12,2022612045834.2666,16437.72059796846,3.4431682788617584e-19,5.347542375769289e-20,7.057762631703382e-21,540.0509059009617,6.77800530149187e-20,7.879940782725416e-21,587.0365395651216,7180.159132965784,39112620.76129315,45025.144341177525,1.3681567839287154,1.4146841669318502,1.6258414769543084,7
9,28800,4.167572916593249e-12,2056330840271.782,14948.743972234215,2.749505532323582e-19,5.1372567562806777e-20,5.1217575210778074e-21,397.8475843649351,7.471375698397163e-20,4.6606798951458485e-21,410.4663158348781,6907.609201618998,44955494.66166751,31921.931290496843,1.4906878299168158,1.269786183057527,1.4588058602538305,8
10,3600,1895812855451.3416,801604587722.8633,231.7050651118172,2448.81938209957,364.8719187108007,76.60738152667912,60.76986484986871,299.6460500323707,47.1030774842899,50.27438361981735,3040.2649309464296,6951514.775030498,78561.15767973398,2.214001933304027,2.0751119812210055,2.6880614637804663,1
10,7200,1502162183126.7644,1404884865217.7937,425.8569840369614,1758.081930309267,374.4066275616081,70.28626203632787,73.26338073201434,488.20450123134196,49.10435963868315,44.99454477924377,5840.55195220842,16573473.018708847,60455.31458674323,2.621736490269293,3.444369609218998,2.2501441095460426,2
10,10800,771444469382.5059,2313230204457.058,666.1474699160797,1668.7489351957636,361.06599969954556,53.20317418872864,87.46006725274671,336.4247158962402,41.01308183864094,66.73930386257885,8362.380023771155,29521675.231474936,114013.4408815418,2.4064602481838673,2.2439190024041666,2.852765047363969,3
10,14400,177182909510.90765,3705990845955.9253,4534.0788533385075,2190.1511859601214,440.42026265343793,55.75215379044495,85.70081288236973,298.36150956321524,40.56727388234435,98.97741144190843,12688.34154503237,26700114.597457837,65613.88755037829,2.002266158805122,2.1009617555892213,2.431446250846656,4
10,18000,1157595.6998862738,3880376739451.316,18041.421262640317,0.06388691605162962,0.013835204378274226,0.0021481883565759897,540.4114055275865,0.011775875078728262,0.001498416525711853,384.47190105724,13426.03976901624,33235830.75555528,64780.04770555538,1.6179108583598103,1.8364436076876771,1.7192823583720063,5
10,21600,0.2117205780698689,2326594842156.0146,21828.98653633803,1.478891156636394e-8,1.991801143956455e-9,4.2357459463721674e-10,532.3546221814344,1.8636824222454272e-9,3.222756415675734e-10,305.26389788570106,11857.72731389245,29973453.81523493,57489.562965312085,1.6376846279550725,1.593988114255568,1.8207207526393554,6
10,25200,2.5166038705119143e-7,3161753457773.6323,16144.599798831936,1.9679791366674935e-14,2.8882140124948642e-15,4.10194604952241e-16,563.329147310607,2.547985074041074e-15,3.0806832636123777e-16,345.20292526493546,10003.064112727116,30053214.622259583,40036.27536584619,1.6391359939950796,1.4627787159640657,1.3789933951179116,7
10,28800,5.549392242661727e-12,2592831778886.8813,16261.621115373893,4.908106757478033e-19,1.287968598469213e-19,9.731737682250865e-21,520.5048841764941,6.654164669067211e-20,1.1602077214298277e-20,498.67041755432894,12249.673549692976,46779071.390071854,42544.88370252827,1.0133230665858224,1.4196219776041776,1.1877191365689768,8
